Product Name,Slug,Brand Name,SKU,HSN Code,Product Title,Subtitle / Tagline,Product Category,Product Sub-Category,Product Type,Skin/Hair Type,Net Quantity (Content),Unit Count (Pack of),Package Content Details,Inner Packaging Type,Outer Packaging Type,Net Weight (Product Only),Dead Weight (Packaging Only),discount,MRP,WEBSITE price,GST %,Country of Origin,Manufacturer / Packer / Importer,Key Ingredients,Ingredient Benefits,How to Use (Steps),Product Description (Long),Bullet Highlights (Short Desc.),Image Links,Video Links,Platform Category Mapping,Hazardous / Fragile (Y/N),Special Attributes (Badges)
"Nefol Glow Care combo                                                                        Face cleanser/face wash ,anytime cream",nefol-glow-care-combo,NEFOL,N24693,3304,Nefol Aprajita Glow Care Combo: Face Cleanser & Anytime Cream Kit  (100ml + 50gm),Glow-boosting duo with face wash & tinted anytime cream, combo packs,Skincare Set,Skincare Set,"All Skin Types (dry, oily, combination, normal)",100 ml + 50 g,1,Face Cleanser + Anytime Cream,Pump Bottle (Plastic) + Glass Jar,Carton Box,100 ML + 50 GM,290 GM,30%,1278.00,894.60,18,INDIA,M/S COSMETIFY,"Face Cleanser, Anytime Cream","Cleansing, brightening, anti-aging",Step 1: Cleanser ? Step 2: Cream,"Two-step routine for everyday glow. Cleanser removes impurities, Anytime Cream brightens and nourishes skin for youthful radiance.",? Natural Care ? For All Types ? Glow & Hydration,,,,No,Vegan | Cruelty-Free | Natural
"Nefol Hair Care                                                                                 Hair oil, Hair Lather Shampoo ,Hair Mask",nefol-hair-care-combo,NEFOL,N24692,3305,"Nefol Aprajita Hair Care Combo: Oil, Shampoo & Mask Kit for Hair Fall Control (200ml + 300ml + 300ml)","Complete hair care trio for strong, shiny & nourished hair", combo packs,Haircare Set,Haircare Set,"All Hair Types (straight, wavy, curly, coily)",200 ml + 300 ml + 300 g,1,Hair Oil + Hair Shampoo + Hair Mask,Plastic Oil Bottle + Plastic Bottle + Plastic Oil,Carton Box,200 ML + 300 ML + 300 ML,875 GM ,30%,2367.00,1656.90,18,INDIA,M/S COSMETIFY,"Hair Oil, Hair Lather Shampoo, Hair Mask","Nourishes, strengthens, restores shine, promotes growth",Step 1: Oil ? Step 2: Shampoo ? Step 3: Mask,"Comprehensive hair care set. Oil nourishes, shampoo reduces hair fall, mask conditions deeply. Hair becomes strong, shiny, and healthy.",? Natural Care ? For All Types ? Glow & Hydration,,,,No,Vegan | Cruelty-Free | Natural
"Nefol Hydration Duo                                                                             Face cleanser or face wash, Hydrating Moisturizer",nefol-hydration-duo,NEFOL,N24694,3304,Nefol Aprajita Hydration Duo: Face Cleanser & Moisturizer for Glowing Skin (100ml + 100gm),Cleanser & moisturizer combo for 24-hour skin hydration, combo packs,Skincare Set,Skincare Set,"All Skin Types (dry, oily, combination, normal)",100 ml + 100 g,1,Face Cleanser + Hydrating Moisturizer,Pump Bottle (Plastic) + Glass Jar,Carton Box,100 ML+ 100 GM,420 GM,30%,1377.00,963.90,18,INDIA,M/S COSMETIFY,"Face Cleanser, Hydrating Moisturizer","Cleansing, deep hydration, skin barrier protection",Step 1: Cleanser ? Step 2: Moisturizer,"Simple 2-step hydration routine. Cleanser purifies skin, moisturizer provides lasting hydration and nourishment, leaving skin soft and smooth.",? Natural Care ? For All Types ? Glow & Hydration,,,,No,Vegan | Cruelty-Free | Natural
Nefol Radiance Routine                                                              Face cleanser Furbish Scrub Face serum,nefol-radiance-routine,NEFOL,N24691,3304,"Nefol Aprajita Radiance Routine: Face Cleanser, Scrub & Serum Kit for Glow (100ml + 50gm + 30ml)","Daily skincare set for smooth, bright & radiant skin", combo packs,Skincare Set,Skincare Set,"All Skin Types (dry, oily, combination, normal)",100 ml + 50 g + 30 ml,1,Face Cleanser + Furbish Scrub + Face Serum,Pump Bottle (Plastic) + Plastic Jar + Short Pump Bottle,Carton Box,130 ML + 50 GM,295 GM,30%,2114.00,1479.80,18,INDIA,M/S COSMETIFY,"Face Cleanser, Furbish Scrub, Face Serum","Cleansing, exfoliation, hydration, antioxidant protection",Step 1: Cleanser ? Step 2: Scrub ? Step 3: Serum,"Skincare trio for glowing skin. Cleanser removes impurities, scrub exfoliates, serum delivers antioxidants and hydration for radiant skin.",? Natural Care ? For All Types ? Glow & Hydration,,,,No,Vegan | Cruelty-Free | Natural
Revitalizing Face Mask,nefol-revitalizing-face-mask,NEFOL,N24683,3304,Nefol  Revitalizing Face Mask,Detox clay mask that purifies pores & revives dull skin, Face care,Face Mask,Face Care,"All Skin Types (dry, oily, combination, normal)",50 g,1,Face Mask Tube,Plastic Jar,Carton Box / Polybag,50 GM,100 GM,30%,649.00,454.30,18,INDIA,M/S COSMETIFY,"Aprajita (Blue Tea), Charcoal, Kaolin Clay, AHA & BHA",Aprajita (Blue Tea): brightens & calms skin; Charcoal: detoxifies; Kaolin Clay: absorbs excess oil; AHA & BHA: exfoliates gently,"Apply a thin layer evenly on cleansed face. Leave for 10-15 mins, rinse with lukewarm water. Use 1-2 times per week.","Weekly detox mask that purifies pores, removes excess oil, and gently exfoliates dead skin cells, leaving skin refreshed and glowing.",? Natural Care ? For All Types ? Glow & Hydration,,https://youtu.be/mwPE22ed4WQ?si=t-H6i-1BSSdLYGgI,Beauty > Skin Care,No,Vegan | Cruelty-Free | Natural
Wine Lotion,nefol-wine-lotion,NEFOL,N24686,3304,Nefol  Wine Lotion,Anti-aging body lotion with wine extracts & natural antioxidants, Body care,Body Lotion,Body Care,"All Skin Types (dry, oily, combination, normal)",50 GM,1,Wine Lotion Bottle,Glass Jar,Carton Box / Polybag,50 GM,155 GM,30%,649.00,454.30,18,INDIA,M/S COSMETIFY,"Aprajita (Blue Tea), Mulberry, Grapeseed","Aprajita (Blue Tea): antioxidant, anti-aging; Mulberry: brightens; Grapeseed: nourishes & protects from free radicals",Apply evenly on face and neck after cleansing. Massage until absorbed. Use daily.,"Luxurious wine lotion that combats signs of aging, brightens complexion, and deeply nourishes skin for soft, smooth radiance.",? Natural Care ? For All Types ? Glow & Hydration,,https://youtu.be/U9vFLMe70nI?si=f9VK5x9Vk_4vTxg8,Beauty > Skin Care,No,Vegan | Cruelty-Free | Natural
Nefol face mask + Nefol furbish scrub-(The Deep Cleanse Duo),nefol-face-mask-nefol-furbish-scrub-the-deep-cleanse-duo,NEFOL,NC2461,33049990,Nefol Deep Cleanse Duo – Face Mask & Furbish Scrub Combo for Clear and Smooth Skin,Deep Detox Duo,combo packs,Mask + Scrub,Face Care,"All Skin Types (dry, oily, combination, normal)",50gm+50gm=100gm,Pack Of 2,Face Care,Plastic Jar+Glass Jar,Carton Box / Polybag,100GM,,30%,1299.0,815.0,18,INDIA,COSMETIFY,"Aprajita (Blue Tea), Charcoal, Kaolin Clay, AHA & BHA & Aprajita (Blue Tea), Papaya Extract, Rice Powder, Tapioca Starch","Detoxifies pores, removes impurities, exfoliates dead cells","Apply evenly on clean face, leave 10–15 min, rinse off",Deep-cleansing mask combo that detoxifies and refines skin texture,• Deep pore cleansing • Brightening polish • Smooth finish,,,Beauty > Skin Care,No,Vegan | Cruelty-Free | Natural
Nefol face serum + Nefol wine lotion-( The Radiance Restore Kit),nefol-face-serum-nefol-wine-lotion-the-radiance-restore-kit,NEFOL,NC2462,33049990,"Nefol Radiance Restore Kit – Face Serum & Wine Lotion for Bright, Youthful Glow",Glow & Brightness Boost,combo packs,Serum + Lotion,Face Care,"All Skin Types (dry, oily, combination, normal)",50gm+30ml=80gm,Pack Of 2,Face Care,Glass jar+Pump Bottle,Carton Box / Polybag,80GM,,30%,1540.0,960.0,18,INDIA,COSMETIFY,"Aprajita (Blue Tea), Green Tea, White Tea, Brahmi & Aprajita (Blue Tea), Mulberry, Grapeseed","Antioxidant-rich, fades pigmentation, boosts elasticity","Apply after cleansing, leave for 15 min, rinse and tone","Anti-aging combo that revitalizes dull, tired skin and restores glow",• Antioxidant boost • Reduces dullness • Youthful glow,,,Beauty > Skin Care,No,Vegan | Cruelty-Free | Natural
Nefol hydrating moisturizer + Nefol face serum -(The Hydration Boost Stack),nefol-hydrating-moisturizer-nefol-face-serum-the-hydration-boost-stack,NEFOL,NC2463,33049990,Nefol Hydration Boost Combo – Moisturizer & Face Serum for Deep Hydration & Radiance,Deep Moisture & Glow,combo packs,Moisturizer + Serum,Face Care,"All Skin Types (dry, oily, combination, normal)",100gm+30ml=130gm,Pack Of 2,Face Care,Glass jar+Pump Bottle,Carton Box / Polybag,130GM,,30%,1688.0,1060.0,18,INDIA,COSMETIFY,"Aprajita (Blue Tea), Blueberry, Juniper Berry & Aprajita (Blue Tea), Green Tea, White Tea, Brahmi","Repairs oxidative stress, rejuvenates tone, calms skin","Massage thin layer on clean face, leave 15 min, wash",Refreshing botanical blend that brightens and nourishes tired skin,• Restores glow • Calms skin • Rich in antioxidants,,,Beauty > Skin Care,No,Vegan | Cruelty-Free | Natural
Nefol Anytime cream + Nefol face serum -(The Daily Youth Set ),nefol-anytime-cream-nefol-face-serum-the-daily-youth-set,NEFOL,NC2464,33049990,Nefol Daily Youth Set – Anytime Cream & Face Serum for Anti-Aging and Skin Renewal,Daily Glow & Anti-Aging,combo packs,Cream + Serum,Face Care,"All Skin Types (dry, oily, combination, normal)",50gm+30ml=80gm,Pack Of 2,Face Care,Glass jar+Pump Bottle,Carton Box / Polybag,80GM,,30%,1588.0,999.0,18,INDIA,COSMETIFY,"Aprajita (Blue Tea), Yellow Dragon Fruit, Saffron, Kale Leaf & Aprajita (Blue Tea), Green Tea, White Tea, Brahmi","Evens tone, firms skin, enhances glow","Use evenly on face, rest 15 min, wash with lukewarm water",Brightening treatment that firms and energizes skin with superfruit extracts,• Natural glow • Firming effect • Radiance booster,,,Beauty > Skin Care,No,Vegan | Cruelty-Free | Natural
Nefol Anytime cream + Nefol furbish scrub -(The Smooth Start Duo),nefol-anytime-cream-nefol-furbish-scrub-the-smooth-start-duo,NEFOL,NC2465,33049990,"Nefol Smooth Start Duo – Anytime Cream & Furbish Scrub for Fresh, Polished Skin",Gentle Exfoliation & Hydration,combo packs,Cream + Scrub,Face Care,"All Skin Types (dry, oily, combination, normal)",50gm+50gm=100gm,Pack Of 2,Face Care,Glass Jar+Glass Jar,Carton Box / Polybag,100GM,,30%,1344.0,846.0,18,INDIA,COSMETIFY,"Aprajita (Blue Tea), Yellow Dragon Fruit, Saffron, Kale Leaf & Aprajita (Blue Tea), Papaya Extract, Rice Powder, Tapioca Starch","Exfoliates gently, adds glow, improves texture","Apply in circular motion, rinse after 10–12 min",Dual-action formula for exfoliation and radiance boost,• Instant brightness • Gentle exfoliation • Smooth finish,,,Beauty > Skin Care,No,Vegan | Cruelty-Free | Natural
Nefol Anytime cream + Nefol face mask -(The Total Recharge System Conditioning and weekly deep treatment),nefol-anytime-cream-nefol-face-mask-the-total-recharge-system-conditioning-and-weekly-deep-treatment,NEFOL,NC2466,33049990,Nefol Total Recharge Kit – Anytime Cream & Face Mask for Weekly Deep Treatment,Weekly Deep Treatment,combo packs,Cream + Mask,Face Care,"All Skin Types (dry, oily, combination, normal)",50gm+50gm=100gm,Pack Of 2,Face Care,Glass jar+ Plastic jar,Carton Box / Polybag,100GM,,30%,1348.0,848.0,18,INDIA,COSMETIFY,"Aprajita (Blue Tea), Yellow Dragon Fruit, Saffron, Kale Leaf &Aprajita (Blue Tea), Charcoal, Kaolin Clay, AHA & BHA","Purifies, detoxifies, refines pores","Apply thin layer, let dry, rinse off","Deep detox treatment for dull, oily, or polluted skin",• Detox therapy • Tightens pores • Fresh glow,,,Beauty > Skin Care,No,Vegan | Cruelty-Free | Natural
Nefol face cleanser + Nefol furbish scrub -(The Polish & Refresh Combo Deep cleaning and texture refinement),nefol-face-cleanser-nefol-furbish-scrub-the-polish-refresh-combo-deep-cleaning-and-texture-refinement,NEFOL,NC2468,33049990,Nefol Polish & Refresh Combo – Face Cleanser & Face Scrub for Refined Texture & Glow,Texture Refinement,combo packs,Cleanser + Scrub,Face Care,"All Skin Types (dry, oily, combination, normal)",100ml+50gm=150gm,Pack Of 2,Face Care,Pump Bottle (Plastic)+Glass jar,Carton Box / Polybag,150GM,,30%,1225.0,771.0,18,INDIA,COSMETIFY,"Aprajita (Blue Tea), Kakadu Plum, Yuja, Vitamin C & B5 & Aprajita (Blue Tea), Papaya Extract, Rice Powder, Tapioca Starch","Brightens, hydrates, smoothens","Apply evenly, rest 15 min, rinse","Vitamin-rich glow formula for brighter, healthier-looking skin",• Vitamin C radiance • Deep hydration • Smooth glow,,,Beauty > Skin Care,No,Vegan | Cruelty-Free | Natural
Nefol face cleanser + Nefol face mask -(The Detoxifying Duo),nefol-face-cleanser-nefol-face-mask-the-detoxifying-duo,NEFOL,NC2469,33049990,Nefol Detoxifying Duo – Face Cleanser & Face Mask for Oil Control and Deep Detox,Purify & Detoxify Skin,combo packs,Cleanser + Mask,Face Care,"All Skin Types (dry, oily, combination, normal)",100ml+50gm=150gm,Pack Of 2,Face Care,Pump Bottle (Plastic)+Plastic jar,Carton Box / Polybag,150GM,,30%,1228.0,863.0,18,INDIA,COSMETIFY,"Aprajita (Blue Tea), Kakadu Plum, Yuja, Vitamin C & B5 & Aprajita (Blue Tea), Charcoal, Kaolin Clay, AHA & BHA","Lightens spots, purifies, refines pores","Apply after cleansing, leave 10–15 min",Brightening + purifying combo for dull and congested skin,• Pore refining • Brightens tone • Detox effect,,,Beauty > Skin Care,No,Vegan | Cruelty-Free | Natural
Nefol face cleanser+ face cleanser- (Monthly  pack),nefol-face-cleanser-face-cleanser-monthly-pack,NEFOL,NC2470,33049990,Nefol Face Cleanser Twin Pack – Daily Gentle Cleansing Combo (Monthly Pack),Cleanse & Refresh,combo packs,Cleanser,Face Care,"All Skin Types (dry, oily, combination, normal)",100ml+100ml=-200ml,Pack Of 2,Face Care,Pump Bottle (Plastic),Carton Box / Polybag,100ml+100ml=-200ml,,30%,1158.0,858.0,18,INDIA,COSMETIFY,"Aprajita (Blue Tea), Kakadu Plum, Yuja, Vitamin C & B5","Boosts glow, repairs dull skin, fights pigmentation",Apply daily on clean face and neck,"Radiance-boosting mask for a luminous, even skin tone",• Vitamin-rich • Brightening care • Lightweight feel,,,Beauty > Skin Care,No,Vegan | Cruelty-Free | Natural
Nefol hair oil + Nefol hydrating moisture-( Hair & Skin Nourishment Duo ),nefol-hair-oil-nefol-hydrating-moisture-hair-skin-nourishment-duo,NEFOL,NC2471,33059090,Nefol Hair & Skin Nourishment Duo – Hair Oil & Moisturizer for Total Care,Nourish Hair & Moisturize Skin,combo packs,Oil + Cream,Hair & Skin Care,"All Hair Types (straight, wavy, curly, coily)",200ml+100gm=300gm,Pack Of 2,Hair & Skin Care,Glass jar+Plastic Oil Bottle,Carton Box / Polybag,300GM,,30%,1587.0,999.0,18,INDIA,COSMETIFY,"Sesame, Amla, Flaxseed, Coconut, Mustard, Argan Oils & Aprajita (Blue Tea), Blueberry, Juniper Berry","Nourishes scalp, strengthens roots, adds shine",Massage on scalp and rinse after 30 min,Herbal hair oil blend that deeply nourishes and adds luster,• Strengthens roots • Adds shine • Deep nourishment,,,Beauty > Hair Care,No,Vegan | Cruelty-Free | Natural
Nefol hair shampoo + Nefol hair oil + Nefol wine lotion- (Hair & Skin Care) .,nefol-hair-shampoo-nefol-hair-oil-nefol-wine-lotion-hair-skin-care,NEFOL,NC2472,33059090,"Nefol Hair & Skin Care Trio – Shampoo, Hair Oil & Wine Lotion for Shine & Smoothness",Complete Nourishment Set,combo packs,Shampoo + Oil + Lotion,Hair & Skin Care,"All Hair Types (straight, wavy, curly, coily)",300ml+200ml+50gm=550gm,Pack Of 3,Hair & Skin Care,Glass jar+Plastic Oil Bottle+Plastic Bottle,Carton Box / Polybag,550GM,,30%,2227.0,1402.0,18,INDIA,COSMETIFY,"Aprajita (Blue Tea), Tea Tree, Biotin, Saw Palmetto & Sesame, Amla, Flaxseed, Coconut, Mustard, Argan Oils & Aprajita (Blue Tea), Mulberry, Grapeseed","Reduces dandruff, promotes growth, adds volume","Apply to scalp, massage 5–7 min, rinse","Triple-powered hair care combo for stronger, thicker hair",• Reduces hair fall • Strengthens strands • Nourishing blend,,,Beauty > Hair Care,No,Vegan | Cruelty-Free | Natural
Nefol shampoo + hair mask + cleanser (Head-to-Toe Cleanse & Mask ),nefol-shampoo-hair-mask-cleanser-head-to-toe-cleanse-mask,NEFOL,NC2475,33059090,"Nefol Head-to-Toe Cleanse & Mask Combo – Shampoo, Hair Mask & Face Cleanser Set",Total Care Routine,combo packs,Shampoo + Mask + Cleanser,Hair & Skin Care,"All Hair Types (straight, wavy, curly, coily)",300ml+300ml+100ml=700ml,Pack Of 3,Hair & Skin Care,Pump Bottle (Plastic)+plastic bottle,Carton Box / Polybag,700ML,,30%,2157.0,1448.0,18,INDIA,COSMETIFY,"Aprajita (Blue Tea), Tea Tree, Biotin, Saw Palmetto & Aprajita (Blue Tea), Shea Butter, Quinoa, Olive Squalane & Aprajita (Blue Tea), Kakadu Plum, Yuja, Vitamin C & B5","Hydrates, repairs, strengthens","Apply to hair/scalp, leave 20 min, rinse",Deep repair therapy for damaged and dry hair,• Hydrating care • Strength restoration • Vitamin boost,,,Beauty > Hair Care,No,Vegan | Cruelty-Free | Natural
